Question,Correct Answer,Generated Answer,BLEU Score,ROUGE Score,Complexity
Which department prepared the document?,Department of Economic Affairs,Department of Financial Services,0.638943104,0.5,Easy
Which year did India's economy grow by 8.2%?,2024,FY2024,0,0,Easy
Who is the Chief Economic Advisor?,V. Anantha Nageswaran,Anantha Nageswaran,0.60653066,0.8,Easy
What does MSME stand for?,"Micro, Small, Medium Enterprises","Micro, Small, Medium Enterprises",1,1,Easy
Which sector contributes the most to India’s GVA in FY24?,Services,Services,1,1,Easy
Which ministry publishes the Economic Survey?,Finance,Department of financ Affairs,0,0,Easy
What is the focus of Chapter 3 in the survey?,Inflation,agriculture industry infras ssment of the various sectors,0,0,Easy
What is the primary focus of PM-KISAN?,Farmers,farmer,0,1,Easy
What is the inflation rate for FY24?,Headline inflation rate is largely under control,39p6phfu Prices and Inflation in FY26,0,0.153846154,Easy
What is the trade deficit trend in FY24 compared to FY23?,Lower in FY24 than in FY23,lower,0,0.285714286,Easy
What is India's current account deficit in FY24?,Around 0.7% of GDP,0.7 of GDP,0.54444606,0.888888889,Easy
What is the full form of GFCF?,Gross Fixed Capital Formation,Gross Fixed Capital Formation,1,1,Easy
Which initiative focuses on digital learning?,Vidyanjali,PM eVIDYA,0,0,Easy
What type of inflation is primarily under control?,Retail,headline,0,0,Easy
Which sector is a major driver of rural employment?,Agriculture,agricultural economy,0,0.666666667,Easy
What is India's major export sector?,Services,services,0,1,Easy
What is the main focus of the NEP 2020?,Education,goals and policies into action,0,0,Easy
Which ministry oversees India’s banking reforms?,Finance,Monetary Management and Financial Intermediation,0,0,Easy
What is India’s primary renewable energy source?,Solar,fossilfuel,0,0,Easy
What percentage of GVA comes from agriculture in FY24?,17.7,17.7 per cent 27.6 per cent,0.638943104,0.4,Easy
What type of investment drives infrastructure growth?,Public,public,0,1,Easy
Which year marked record housing sales since 2013?,2023,2023,1,1,Easy
Which organization provides monetary policy for India?,RBI,Reserve Bank of India RBI,0.668740305,0.333333333,Easy
What is the fiscal deficit as a percentage of GDP in FY24?,1.6,4.5 per cent,0,0,Easy
Which act governs apprenticeships?,Apprenticeship Act,Apprenticeship Act,1,1,Easy
What is the current account deficit percentage in FY24?,0.7,0.7 of GDP,0.759835686,0.666666667,Easy
Which region leads in India’s climate initiatives?,Himalayas,INDIAS,0,0,Easy
What is India's major employment type?,Informal,EMPLOYMENT,0,0,Easy
What is the CAGR of health expenditure in FY24?,4.5,15.8 per cent,0,0,Easy
What is India’s dominant mode of power generation?,Coal,fossilfuel,0,0,Easy
Which sector leads in job creation post-pandemic?,Services,two sectors,0,0,Easy
What is India’s primary mode of agricultural production?,Foodgrains,Indias growth trajectory,0,0,Easy
Which scheme aims to transform urban infrastructure?,AMRUT,Make in India Digital India Smart City Mission Atal Mission for Rejuvenation,0,0,Easy
What percentage of GDP is invested in GFCF in FY24?,33 percent,33 per cent,0,1,Easy
What type of inflation persisted post-Covid?,Core,services,0,0,Easy
What is the main focus of Chapter 7 in the survey?,Social Welfare,Izzur au,0,0,Easy
Which ministry implements CSR policies?,Corporate Affairs,Ministry of Corporate Affairs,0.638943104,0.666666667,Easy
What sector has benefitted most from WPI decline?,Manufacturing,external events,0,0,Easy
Which state showed the highest CSR spending in FY24?,Maharashtra,Maharashtra Karnataka Gujarat Tamil Nadu Uttar Pradesh,0.614788153,0.25,Easy
What does PLFS stand for?,Periodic Labour Force Survey,PLFS,0,0,Medium
Which act promotes employment and job creation?,Labour Codes,freeing workers from the web of legislations,0,0,Medium
Which year showed the highest private investment growth?,2024,FY24,0,0,Medium
What drives India’s GDP growth in FY24?,Private Consumption,stable consumpti t on Indias economy,0,0,Medium
What is the main goal of India’s PLI scheme?,Manufacturing Growth,manufacturing in complex and niche sectors,0,0.25,Medium
What drives India’s services export growth?,Global Capability Centres,increased exports from China,0,0,Medium
What percentage of GDP is public investment in FY24?,12.5%,9.5 per cent,0,0.333333333,Medium
What is India’s strategy for renewable energy?,Solar Expansion,cleaner energy sources,0,0,Medium
What is the key to sustained high growth rates for India?,"A grand alliance of governments, private sector, and academia.",barriers and hurdles,0.102832578,0.166666667,Medium
What is the focus of the New Education Policy 2020?,Freeing India’s higher education from regulatory oversight to market oversight.,areas where it has to,0.24601581,0.125,Medium
What is the headline of BusinessLine about corporate profit in FY24?,Corporate profit for the Nifty-500 universe was up 30%.,newspaper headlines told us that the corporate profitstoGDP ratio,0.577350269,0.210526316,Medium
What is the cumulative growth of private sector GFCF from FY19 to FY23?,52% in current prices,35,0,0,Medium
What is the role of the private sector in job creation?,It is the main driver of job creation.,job creation happens mainly in the private sector,0.707106781,0.375,Medium
Which act governs apprenticeships?,Apprenticeship Act,Apprenticeship Act,1,1,Medium
What is the focus of India’s energy transition?,Battery Storage,meeting energy demands,0,0,Medium
What type of inflation persisted post-Covid?,Core,services,0,0,Medium
Which ministry oversees financial inclusion?,Finance,MFIs,0,0,Medium
What is India’s fiscal deficit in FY24?,1.6%,5.6 per cent of GDP,0,0.25,Medium
